#{"t_start": 1779068000.972277, "env_id": "None"}
r,l,t
-0.729669,11,6.610754
-0.288141,2,6.621813
-0.386509,8,6.659851
-0.01,1,6.668231
0.033617,2,6.678075
-0.834234,14,6.744716
0.004063,3,6.759741
-0.631467,11,6.813177
-0.01,1,6.818839
-0.320107,4,6.839975
0.051091,2,6.851646
0.055452,8,6.893912
-0.246048,7,6.930146
-0.490236,4,6.950192
-0.169526,6,6.979111
-0.299139,8,7.019795
-0.586687,23,7.133262
-0.892489,5,7.157915
0.018338,2,7.169801
-0.535734,14,7.237138
-0.01,1,7.243544
-0.000463,2,7.25496
-0.408994,6,7.282844
-0.204676,8,7.322053
-0.01,1,7.328565
0.069156,2,7.338263
-0.01,1,7.343704
0.05302,4,7.366467
-0.699296,37,7.535756
-0.481732,6,7.564562
-0.01,1,7.569968
-0.491053,3,7.586063
0.068631,2,7.597707
-0.573211,22,7.703765
-0.01,1,7.709715
0.017623,3,7.729393
-0.627093,11,7.788949
-0.01,1,7.794348
-0.515794,5,7.817304
0.070758,2,7.82988
-0.01,1,7.835227
0.023605,3,7.850409
-0.144049,7,7.884462
-0.01,1,7.891397
-0.570483,2,7.900298
0.110679,5,7.926192
-0.355026,14,7.991672
-0.01,1,7.998682
0.026421,2,8.009884
-0.305427,3,8.024332
-0.01,1,8.029722
-0.01,1,8.036676
0.001721,4,8.056208
-0.808265,29,8.192991
-0.349187,6,8.222292
-0.01,1,8.229224
0.044399,2,8.240431
-0.016,2,8.250123
-0.01,1,8.255454
-0.426801,2,8.26718
-0.01,1,8.272507
-0.306516,2,8.284087
-0.3407,2,8.293389
-0.01,1,8.300839
-0.01,1,8.307694
0.052076,5,8.332714
-0.178141,9,8.374925
-0.327489,6,8.407388
-0.932072,15,8.472227
-0.330897,4,8.49374
0.066812,4,8.515221
-0.261069,9,8.561492
-0.290946,2,8.570582
0.117872,5,8.596482
0.025981,3,8.612701
-0.520136,9,8.65771
-0.399587,2,8.668086
0.12302,3,8.683504
0.033368,2,8.693559
0.049186,3,8.712652
-0.01,1,8.718192
0.021916,3,8.734065
-0.374038,3,8.748484
-0.310791,2,8.759034
-0.257145,7,8.79235
