episode,initial_length,final_length,best_length,relative_improvement,total_reward,num_steps,terminated,truncated,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt
1,6.733793821436311,6.260649289088602,6.260649289088602,0.07026418463266644,0.002517560576903166,32,True,False,1,5,0,26,0
2,7.143301559596033,6.3198630044449935,6.3198630044449935,0.11527422554978993,0.2020250691194749,17,True,False,1,12,0,4,0
3,6.6527597454710286,6.184951568257572,6.184951568257572,0.07031791243204355,0.05493880725289808,21,True,False,1,8,0,12,0
4,7.794577183669138,5.802708575252061,5.802708575252061,0.2555454338934964,0.4810551675086825,28,True,False,1,7,0,20,0
5,6.411849837130551,5.884128629774363,5.884128629774363,0.08230404965197301,0.09972749465534189,21,True,False,1,6,0,14,0
6,6.778367469755578,5.852265454909365,5.852265454909365,0.13662611520818108,0.25372837374012025,15,True,False,1,14,0,0,0
7,6.35920262710027,6.034199172012548,6.034199172012548,0.051107579699173705,-0.02426977929493984,29,True,False,1,8,0,20,0
8,7.295966946866215,5.920241028820894,5.920241028820894,0.18855977940473354,0.343932335131365,20,True,False,1,7,0,12,0
9,6.7217605622118555,6.053237259671259,6.053237259671259,0.09945657783451498,0.17269682174162374,13,True,False,1,7,0,5,0
10,7.1388427266114665,6.226958216155289,6.226958216155289,0.1277356212172801,0.2114273348090181,18,True,False,1,10,0,7,0
11,7.065103006683916,5.942368270760165,5.942368270760165,0.15891272000727977,0.31557968678166026,14,True,False,1,10,0,3,0
12,7.360872119994795,6.392092656034713,6.392092656034713,0.13161204924733394,0.23942125223119154,17,True,False,1,11,0,5,0
13,7.045851987815592,6.1951665063205095,6.1951665063205095,0.12073564459857726,0.14310004767406237,27,True,False,1,13,0,13,0
14,7.5543656957326455,6.294076838761552,6.294076838761552,0.1668292094573887,0.2895382110025689,22,True,False,1,20,0,1,0
15,6.579541590221773,6.028873933191882,6.028873933191882,0.0836939244898564,0.1304763481101284,15,True,False,1,3,0,11,0
16,7.957478086151437,6.477902363992369,6.477902363992369,0.18593525563507415,0.3794025903037402,13,True,False,1,7,0,5,0
17,7.2922680903895944,6.5943352690987105,6.5943352690987105,0.09570860706707732,0.14235693162956456,18,True,False,1,8,0,9,0
18,5.7336500189391275,5.651744433650441,5.651744433650441,0.014285068851105318,-0.1976465614375298,41,True,False,1,8,0,32,0
19,6.18651041833115,5.483530607874425,5.483530607874425,0.113631071948693,0.07091403454499673,37,True,False,1,10,0,26,0
20,6.990153172979012,6.0694456611638445,6.0694456611638445,0.13171492655901088,0.15198654368303502,29,True,False,1,18,0,10,0
21,7.220814490103614,5.884324425005173,5.884324425005173,0.18508854741111952,0.28451015557307885,30,True,False,1,12,0,17,0
22,6.358843453665077,5.89797729722034,5.89797729722034,0.07247641175678035,0.050482155128296374,24,True,False,1,6,0,17,0
23,6.5829768540403295,5.7221224801742325,5.7221224801742325,0.13076977072124202,0.23450372357951949,18,True,False,1,11,0,6,0
24,8.11471334561516,6.632969351331083,6.632969351331083,0.18259967187685655,0.36543575821176777,16,True,False,1,11,0,4,0
25,7.476109505207652,6.148636067376505,6.148636067376505,0.17756206445430814,0.32618911148619156,18,True,False,1,7,0,10,0
26,6.352547502235532,5.789198669567635,5.789198669567635,0.0886807745191434,0.033880636730651004,34,True,False,1,18,0,15,0
27,7.75449623681506,6.405377012130285,6.405377012130285,0.17397896439484087,0.26438241113672245,32,True,False,1,23,0,8,0
28,7.821086484506784,7.056537120555056,7.056537120555056,0.09775487912916772,0.17172095624493805,15,True,False,1,7,0,7,0
29,6.74736217569009,6.229062523282204,6.229062523282204,0.07681515219017815,0.05356203522555741,25,True,False,1,14,0,10,0
30,6.757997817468308,5.959884677697813,5.959884677697813,0.11809905260808223,0.21196349054495683,16,True,False,1,11,0,4,0
31,7.077260685703184,6.046084510503461,6.046084510503461,0.14570272609610208,0.2852958897825891,12,True,False,1,8,0,3,0
32,6.2441057890689065,5.733559963216759,5.733559963216759,0.08176444203522655,-0.037000710966309885,43,True,False,1,19,0,23,0
33,7.364644865864165,6.559849130683016,6.559849130683016,0.10927828155183066,0.1107694282504689,31,True,False,1,19,0,11,0
34,7.906900760754095,6.72886325428735,6.72886325428735,0.14898852813657842,0.30228092507349974,12,True,False,1,9,0,2,0
35,6.523285701818098,5.91409335696307,5.91409335696307,0.09338734691403151,0.15531046398836235,14,True,False,1,7,0,6,0
36,7.180056790069949,5.934137637718201,5.934137637718201,0.17352497184630347,0.2925147168769559,24,True,False,1,11,0,12,0
37,7.269253489163477,6.420863720510321,6.420863720510321,0.11670933884997667,0.19607054746621577,17,True,False,1,11,0,5,0
38,7.83946838491405,6.460162012670803,6.460162012670803,0.17594386564496234,0.37443593916454054,9,True,False,1,8,0,0,0
39,7.014246369477693,6.320792223268013,6.320792223268013,0.09886367111757398,0.16198514843025996,15,True,False,1,7,0,7,0
40,7.384000315023715,6.453805545081435,6.453805545081435,0.12597436758631725,0.22701489439782485,15,True,False,1,12,0,2,0
41,6.617897593111751,5.988999360963135,5.988999360963135,0.09502991294443812,0.13114389088845446,18,True,False,1,11,0,6,0
42,6.725490706444825,5.646434045318911,5.646434045318911,0.16044281498923024,0.2488337965838787,26,True,False,1,20,0,5,0
43,6.720942954305009,5.661357212701186,5.661357212701186,0.1576543274965784,0.28092603112876924,19,True,False,1,13,0,5,0
44,7.472022322146907,6.306535482052399,6.306535482052399,0.15598010683667676,0.3149060124054469,12,True,False,1,6,0,5,0
45,6.750119826241188,6.174514733571209,6.174514733571209,0.08527331476876983,0.11910559353264086,17,True,False,1,8,0,8,0
46,6.881521400581392,5.510064007232099,5.510064007232099,0.1992956663963036,0.3680940977806118,19,True,False,1,4,0,14,0
47,7.324860252392075,6.0637402434657,6.0637402434657,0.1721698388053932,0.28915547322772206,26,True,False,1,16,0,9,0
48,7.358845061512038,6.6926852826799035,6.6926852826799035,0.09052504479490386,0.1648940820706888,11,True,False,1,7,0,3,0
49,6.567541671636912,5.804004914971432,5.804004914971432,0.11625914152367668,0.142022264710948,27,True,False,1,9,0,17,0
50,6.701578858172847,5.951174446284523,5.951174446284523,0.1119742717006419,0.16048321985124853,20,True,False,1,14,0,5,0
51,6.817879893585066,5.96695959740982,5.96695959740982,0.12480717018436704,0.21446520702986333,17,True,False,1,13,0,3,0
52,7.386293147418393,6.242432623658427,6.242432623658427,0.15486259493501967,0.31256991589838656,12,True,False,1,9,0,2,0
53,7.053142683935745,6.346190783338697,6.346190783338697,0.10023218475463472,0.15241281621509617,20,True,False,1,10,0,9,0
54,7.154803102636488,6.284576888827727,6.284576888827727,0.12162825465987864,0.17787801753793958,20,True,False,1,13,0,6,0
55,6.7864784093210035,6.123007956784514,6.123007956784514,0.09776358407406627,0.1687659197230501,14,True,False,1,8,0,5,0
56,7.841293233056409,6.662863254959287,6.662863254959287,0.15028515616904037,0.29243390939679437,15,True,False,1,10,0,4,0
57,6.750628829481209,5.696181551922535,5.696181551922535,0.1561998599232286,0.27470111255741864,19,True,False,1,10,0,8,0
58,8.079718773688327,6.819027079112492,6.819027079112492,0.15603163054155902,0.3051546562375504,15,True,False,1,13,0,1,0
59,6.8556821408915765,6.297467593894885,6.297467593894885,0.08142363305719066,0.08574049443345243,21,True,False,1,10,0,10,0
60,7.5194485059924245,6.0371409234065,6.0371409234065,0.19712982692874872,0.2827360752769681,33,True,False,1,28,0,4,0
61,8.071482570260848,6.284439040478009,6.284439040478009,0.22140214195185784,0.4283697658778799,24,True,False,1,23,0,0,0
62,7.441211175171214,6.317163758260924,6.317163758260924,0.15105705112372747,0.28781543545208044,16,True,False,1,14,0,1,0
63,7.481161508169984,6.289626646833921,6.289626646833921,0.15927137250476658,0.28710304304481193,18,True,False,1,8,0,9,0
64,7.39742004356694,6.48804173923746,6.48804173923746,0.12293181933345909,0.19469329873754593,20,True,False,1,10,0,9,0
65,7.413154173065045,5.913967466604093,5.913967466604093,0.20223331006767642,0.41811606531031736,13,True,False,1,8,0,4,0
66,7.479257813572761,5.9470691044217014,5.9470691044217014,0.20485838934052591,0.38801122585819614,19,True,False,1,10,0,8,0
67,5.808714999206002,5.38373730090866,5.38373730090866,0.07316208461861745,-0.009496621359503923,33,True,False,1,12,0,20,0
