method,mean_initial_length,mean_final_length,mean_relative_improvement,std_relative_improvement,mean_num_steps,mean_runtime_sec
nearest_neighbor,6.960534567798464,6.960534567798464,0.0,0.0,0.0,0.0001556087052449584
nearest_neighbor_two_opt,6.960534567798464,6.32235382664644,0.08852036204830543,0.05644819725572051,7.06,0.011433866587467492
random_operator,6.960534567798464,6.7668099417760015,0.02769886290091382,0.03348556276611916,20.38,0.028016684665344654
fixed_schedule,6.960534567798464,6.1428648721567525,0.1141845287381016,0.055234177427339694,17.88,0.02918135000858456
dqn_efficiency,6.960534567798464,6.080831492439532,0.12384403448989312,0.048172937933410105,23.42,0.10216409164015204
dqn_quality,6.960534567798464,5.952912997263732,0.14158016387619848,0.05455659640282563,86.74,0.38766179041936993
