eval_distribution,eval_num_nodes,method,mean_initial_length,mean_final_length,mean_relative_improvement,std_relative_improvement,mean_num_steps,std_num_steps,mean_runtime_sec,std_runtime_sec
clustered,50,nearest_neighbor,3.0290501937939474,3.0290501937939474,0.0,0.0,0.0,0.0,0.00014561985153704882,1.2140861828259727e-05
clustered,50,nearest_neighbor_two_opt,3.0290501937939474,2.6929075204546917,0.1082205973970255,0.062401165575527995,9.1,4.7001953932463145,0.014440909433178604,0.007282060750740074
clustered,50,random_operator,3.0290501937939474,2.9515368231888535,0.025657008692949797,0.033942184928024935,23.64,22.04796256031891,0.03238034459296614,0.031600689309836553
clustered,50,fixed_schedule,3.0290501937939474,2.6364234546559313,0.12689198178597164,0.06703823301751793,22.2,8.371477327990634,0.03573494003619999,0.013636830084196904
clustered,50,dqn_efficiency,3.0290501937939474,2.5390859620882633,0.1583972616113049,0.05650515552402781,81.44,28.41252957296646,0.352607964258641,0.1242852467556184
clustered,50,dqn_quality,3.0290501937939474,2.5525184888065984,0.15424240524700014,0.05768679016414622,98.1,10.519660893114496,0.42760061121545734,0.04701394898118011
clustered,100,nearest_neighbor,3.870178130939917,3.870178130939917,0.0,0.0,0.0,0.0,0.0004314930224791169,1.2849265806911424e-05
clustered,100,nearest_neighbor_two_opt,3.870178130939917,3.6775385179351714,0.04848469813528772,0.03449248819492894,7.6,5.283783431116265,0.015240597920492292,0.01029380286691894
clustered,100,random_operator,3.870178130939917,3.819271096105999,0.013272462244431571,0.01660788778731579,23.86,19.839159379821492,0.041358422134071586,0.03526144059814069
clustered,100,fixed_schedule,3.870178130939917,3.5471736656650803,0.0810370892202026,0.040944918602129926,26.82,14.77130422716385,0.05581114037893713,0.030557222063363386
clustered,100,dqn_efficiency,3.870178130939917,3.3365650155202644,0.13759176769851514,0.03783065516650747,86.3,22.529119478794456,1.0655306355422363,0.28622166304761226
clustered,100,dqn_quality,3.870178130939917,3.286185508091487,0.14961845309948862,0.034563834099459526,100.0,0.0,1.217347938832827,0.012766926099127971
grid,50,nearest_neighbor,8.5465913237286,8.5465913237286,0.0,0.0,0.0,0.0,0.00014589880127459764,2.1738246608932982e-05
grid,50,nearest_neighbor_two_opt,8.5465913237286,7.579533102628863,0.10968026129636659,0.05647588030035929,7.74,3.6016436157251706,0.01233361835591495,0.005672864252469627
grid,50,random_operator,8.5465913237286,8.274103118216882,0.031093487043865893,0.03398462789636507,17.88,15.879186737001723,0.024595539341680704,0.023071843853355905
grid,50,fixed_schedule,8.5465913237286,7.365856704525297,0.13425492974575634,0.06146688978170757,19.08,7.477421797297106,0.03061725672800094,0.01198894909366091
grid,50,dqn_efficiency,8.5465913237286,7.89312988912986,0.0740176237692079,0.03981884232156884,8.12,3.2048432735725574,0.0333117387117818,0.013555974006500049
grid,50,dqn_quality,8.5465913237286,7.345677509199458,0.13787349212179953,0.04163481254800083,60.04,28.014544327501582,0.2562305975798517,0.11787688839274275
grid,100,nearest_neighbor,12.980146962820788,12.980146962820788,0.0,0.0,0.0,0.0,0.0004322825185954571,1.1299513060853391e-05
grid,100,nearest_neighbor_two_opt,12.980146962820788,12.445399188832114,0.040639771361554985,0.030197542343879537,6.0,3.927922024247863,0.012238060645759106,0.007663766229052739
grid,100,random_operator,12.980146962820788,12.801702571642409,0.013360712774472351,0.02231046338820272,20.82,19.99151860981378,0.037809504522010685,0.03748890684531197
grid,100,fixed_schedule,12.980146962820788,11.991795528454498,0.07468344214310813,0.046277260500568775,21.62,10.586649274305012,0.04545213163364679,0.021945795100001393
grid,100,dqn_efficiency,12.980146962820788,12.278707403970323,0.05311466575744851,0.023846947982521807,15.16,3.2473537107079946,0.18384625357110054,0.03989332847787294
grid,100,dqn_quality,12.980146962820788,11.510556623445293,0.11241912187465088,0.021068007967025355,83.78,16.993744347223057,1.027913222257048,0.20789728580175199
uniform,50,nearest_neighbor,7.068793441121463,7.068793441121463,0.0,0.0,0.0,0.0,0.00015401908196508885,1.248093736162061e-05
uniform,50,nearest_neighbor_two_opt,7.068793441121463,6.362059058211775,0.09658727256408933,0.06179076793826238,7.28,4.242833092764931,0.011589760803617536,0.006674276895164121
uniform,50,random_operator,7.068793441121463,6.855965982787539,0.029459858850673815,0.0368283611007815,19.48,18.144814292637047,0.026424640896730123,0.025518050904834198
uniform,50,fixed_schedule,7.068793441121463,6.118968018679459,0.13094474444321016,0.05747262550870428,19.86,7.5512129043307095,0.031948298830538985,0.012100086447654692
uniform,50,dqn_efficiency,7.068793441121463,6.066211289940238,0.1392629514319972,0.04655605900311946,18.48,5.711570783622185,0.07926541309338063,0.025478219641052433
uniform,50,dqn_quality,7.068793441121463,5.980285426982687,0.1506811045231821,0.05530279321161924,85.6,24.96282950995053,0.376813888582401,0.11036950353387176
uniform,100,nearest_neighbor,9.668471698587227,9.668471698587227,0.0,0.0,0.0,0.0,0.0004301281971856952,1.2329914639090738e-05
uniform,100,nearest_neighbor_two_opt,9.668471698587227,9.319513652474123,0.035721491420400875,0.028331849732247012,6.24,4.2067001949999066,0.012664546710439026,0.008196314537709803
uniform,100,random_operator,9.668471698587227,9.52916097162425,0.014175685272885534,0.01644867706119311,18.26,21.506344578818066,0.03298012781888247,0.04049693087317687
uniform,100,fixed_schedule,9.668471698587227,9.036994066493147,0.06412549932101518,0.04201376004450588,19.32,10.090286296781693,0.04059827613644302,0.02099722763074135
uniform,100,dqn_efficiency,9.668471698587227,8.633021944419799,0.10618150245122486,0.029554035310787655,31.78,7.363145955863359,0.3870876481756568,0.09169008150214915
uniform,100,dqn_quality,9.668471698587227,8.428491010288326,0.12724210669264857,0.035473598836012143,98.3,6.834038457065709,1.2081341729825363,0.08218689664373524
