#{"t_start": 1779103820.1393487, "env_id": "None"}
r,l,t
0.361633,8,44.538923
-0.02,1,44.544228
0.124024,5,44.647177
0.193774,20,45.250269
0.14949,6,45.479583
0.228616,7,45.579571
0.433803,6,45.831628
-0.002609,2,45.843148
0.259894,7,46.109366
0.138068,15,46.428076
0.131645,4,46.449118
-0.02,1,46.454802
-0.02,1,46.462971
-0.028,2,46.472943
0.094006,7,46.70848
0.201308,4,46.810714
0.199906,9,47.093861
0.067213,7,47.389828
-0.028,2,47.399188
0.547415,7,47.610613
0.161958,11,47.908432
0.079072,4,47.927699
0.398457,13,48.239684
0.237012,2,48.328292
0.110778,3,48.407348
0.472593,5,48.577306
0.267277,4,48.703152
0.160877,13,49.045299
0.280535,6,49.229859
0.020258,14,49.527502
0.202967,2,49.63957
0.393111,2,49.773356
0.098348,17,50.008752
-0.028,2,50.019954
0.183815,4,50.210009
0.198165,16,50.591338
-0.003954,2,50.602273
0.318336,3,50.76013
-0.111471,5,50.973707
0.241377,11,51.260812
0.120291,13,51.505525
0.333553,4,51.681001
-0.07643,4,51.764256
-0.008698,17,52.094947
0.286407,6,52.294453
0.199669,6,52.464056
-0.102435,19,52.716082
0.491331,10,53.017823
-0.183678,5,53.183819
-0.159226,30,53.947913
-0.157598,12,54.004007
0.319317,2,54.14846
-0.066244,3,54.164403
0.119624,5,54.309058
0.288008,15,54.697766
0.262957,5,54.953475
-0.319401,24,55.480321
0.32275,10,55.712446
-0.159909,30,56.490968
0.522858,4,56.787549
0.451572,8,57.022065
-0.203701,26,57.393022
0.350889,2,57.575494
0.308098,4,57.642937
0.247752,3,57.754109
0.302514,4,57.913225
-0.02,1,57.918505
0.189493,11,58.168902
-0.219544,10,58.546988
0.479113,2,58.717836
0.1416,10,58.929236
-0.039427,16,59.301531
0.506693,2,59.542769
0.218223,2,59.664463
0.057459,2,59.677395
-0.02,1,59.682688
0.393383,3,59.83369
0.311192,11,60.033474
-0.123888,30,60.614215
0.339412,3,60.770971
0.13797,6,60.800247
-0.003389,2,60.811563
0.057396,2,60.822751
-0.02,1,60.82837
0.237301,5,60.91111
-0.02,1,60.916499
0.283589,7,61.073615
0.031009,2,61.083398
0.139862,10,61.316441
-0.02,1,61.321803
-0.030296,26,61.846972
0.458573,2,62.011044
0.480841,6,62.203788
0.201378,3,62.31075
0.188318,7,62.576945
-0.120987,27,63.202205
0.197294,12,63.494702
