episode,initial_length,final_length,best_length,relative_improvement,total_reward,num_steps,terminated,truncated,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt
1,6.733793821436311,6.216304390947689,6.216304390947689,0.07684961022139553,-0.1033184390976491,100,False,True,0,3,56,41,0
2,7.143301559596033,6.200866743861638,6.200866743861638,0.13193266557091726,-0.05282399457660997,100,False,True,0,6,1,93,0
3,6.6527597454710286,6.297518157875249,6.297518157875249,0.053397627629288104,-0.13551066219543054,100,False,True,0,1,27,72,0
4,7.794577183669138,5.844808573428383,5.844808573428383,0.2501442431445578,0.47963214813312227,41,True,False,1,6,0,34,0
5,6.411849837130551,6.045359369866477,6.045359369866477,0.057158304790881735,-0.13243099385900256,100,False,True,0,3,0,97,0
6,6.778367469755578,5.680151160026154,5.680151160026154,0.16201781839499843,-0.0054592654845667336,100,False,True,0,6,39,55,0
7,6.35920262710027,5.974819852373345,5.974819852373345,0.060445121388151044,-0.12287551488588735,100,False,True,0,5,48,47,0
8,7.295966946866215,5.6879853443429065,5.6879853443429065,0.22039321370746798,0.3871347734812618,52,True,False,1,9,0,42,0
9,6.7217605622118555,6.029973989342036,6.029973989342036,0.10291746730148046,-0.07621239758261379,100,False,True,0,4,53,43,0
10,7.1388427266114665,6.337569915703942,6.337569915703942,0.11224127517484302,-0.06946900383021688,100,False,True,0,26,14,60,0
11,7.065103006683916,5.576335329053867,5.576335329053867,0.21072129822050797,0.3797360391055541,46,True,False,1,5,0,40,0
12,7.360872119994795,6.337103761606569,6.337103761606569,0.13908248121948763,-0.023305178791367585,100,False,True,0,7,58,35,0
13,7.045851987815592,5.9390023846122615,5.9390023846122615,0.1570923722379363,-0.012559092715215466,100,False,True,0,33,1,66,0
14,7.5543656957326455,5.99860178063196,5.99860178063196,0.2059423620410003,0.3601373225635085,47,True,False,1,4,0,42,0
15,6.579541590221773,5.953983799451036,5.953983799451036,0.09507619675212833,-0.08674182368918648,100,False,True,0,1,47,52,0
16,7.957478086151437,6.036561107422576,6.036561107422576,0.24139770891381693,0.4832428897428075,29,True,False,1,6,0,22,0
